               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0462,             0.15864,            0.004526,             0.47123,               0.979,             0.74266,             0.51706,             0.03353,             0.12201,           0.0051544,            0.006535,            0.006535,            0.006535
                  37,            0.041267,             0.16942,            0.004199,             0.48008,             0.97764,             0.79256,             0.53475,            0.040328,             0.14834,            0.005072,            0.006436,            0.006436,            0.006436
                  38,            0.045108,             0.17311,           0.0038097,             0.45376,             0.97764,             0.78681,              0.4547,            0.035072,              0.1271,           0.0050068,            0.006337,            0.006337,            0.006337
                  39,            0.038548,             0.15766,           0.0041595,             0.40785,             0.97222,             0.75255,             0.43804,            0.048878,              0.1308,           0.0049793,            0.006238,            0.006238,            0.006238
                  40,            0.042232,             0.18305,           0.0038536,             0.60266,              0.9729,             0.81113,             0.58144,            0.031712,             0.13793,           0.0049736,            0.006139,            0.006139,            0.006139
                  41,            0.042258,             0.17411,           0.0037402,             0.42239,              0.9729,             0.74596,             0.46089,            0.041987,             0.12148,           0.0049519,             0.00604,             0.00604,             0.00604
                  42,             0.04183,             0.16625,           0.0039315,             0.61113,             0.97222,             0.81849,             0.54735,            0.028263,             0.14165,           0.0049381,            0.005941,            0.005941,            0.005941
                  43,            0.042404,             0.17132,           0.0038404,             0.55691,             0.96951,             0.80734,             0.43253,            0.054313,             0.13638,           0.0049061,            0.005842,            0.005842,            0.005842
                  44,            0.047769,             0.16519,           0.0039842,             0.63391,             0.97154,             0.82505,             0.54533,            0.033111,             0.12947,           0.0048878,            0.005743,            0.005743,            0.005743
                  45,            0.035464,             0.16376,           0.0039418,             0.46565,             0.97222,             0.72125,               0.431,            0.037274,             0.13904,           0.0048649,            0.005644,            0.005644,            0.005644
                  46,            0.038991,             0.15875,           0.0039689,             0.60824,             0.93662,              0.8351,             0.57164,            0.027101,             0.12076,           0.0048328,            0.005545,            0.005545,            0.005545
